miner_hotkey,missing_jobs,success_missing,failed_missing,pending_missing,other_status_missing
5EEoQnsLeFc9q1JRJioPLTBcrJ7hF6yLde2tRoCcRoPD58bC,167,167,0,0,0
5GpDK49Y2wRdJ6oM81F4imU2C2G3kCVqrvUed3Apfun2JBmJ,155,155,0,0,0
5FpnAeswfi5ezqeMAD9Shsc2RkjV2GLwkLwqgpg593wfkxuH,151,151,0,0,0
5ESDDUYYqmXYmJp9CT3Qm2oDZXgr4jyEQ1kQKbQHWnsCmvtm,144,143,1,0,0
5EUBrciKEHoy1njoB5NNFyi5nw6E7cAhUUHNyWeDHqoPfmd3,144,144,0,0,0
5Hguu9n7SZv5qxpJxDWnHRNng7kn5i2P1XpE7Z5zoCnZQDom,143,143,0,0,0
5G4asDrXb85GGTu8iYYdq973vXcutNBVMJ2wsPacKqT8VvvP,141,140,0,1,0
5EcbmG8JpsifjHVoGiCxMZ6DBAAqFX84HmDje2ns7pqr5vHY,140,140,0,0,0
5HMwXjuoP8Gaz7a65B8aRGTQDeog6KxhbXdo5aTUmDKCokLM,128,128,0,0,0
5G6bhzCZmVSq6UCSpuHYCNY6AY7AFqXwFsYXFicnGqX8zW27,128,128,0,0,0
5CLgw583gHMUQFudwAbUjikqsrgfurJoRMq8PebkyYJ7zFHX,125,125,0,0,0
5GWYGL6soTXViVy18pDbYoogSvSyFFw5DVHcWxjcyExRamNL,124,123,1,0,0
5FeqAjamJJ1VbcRTYGq23daBqD4qeBJeYeiRhpSY57zTh9ok,118,114,2,2,0
5HifMDiTC2Ghf4AZXm1C4GZqbwAMDLeVb8MP5DamtCYxvoN2,116,116,0,0,0
5CcQHetbCvvkB4ZgXBbDnSR2cErc7gFnsxUw6F8ew55AipyX,112,110,0,2,0
5E1gdzJ9z791jFSj4krrYPYR6VFdxYb1Ee4bvEXSg2ruuxHY,109,106,1,2,0
5G1N7boCPH7E5jGMoGLiVFayBDgmzMD4qkeNxHUT5SXE9zWb,103,103,0,0,0
5G6ZWY7YPp6z8vejpt46zMUoVKR64v4b7hGWLURSr2ffxgyw,97,97,0,0,0
5DXJNeLnLm6Y54ex5mYQfpGs6jaFcw8AhYjVe8DaTraum2NT,96,94,1,1,0
5F7TRP3K6pYoPhMsLinM3seRLFiN17dD29dQJzMkzAtjMh1p,96,95,1,0,0
5DkJhbTgDPqpwVm6cqcJthzPtXbDHb4hKFNqDApanxkefnrv,94,94,0,0,0
5Hbf8vMctQdLobtR6xQhRgftKpsTHri1DsB2RAPECHCsXDWm,86,86,0,0,0
5GHt5EESGijQn1PP5n6anq9tkfUtp5XrmjoQdXCLdzXgPQhn,86,85,0,1,0
5GQeNy5cAw5D4NCVMEQGCzDmGQSXUYs3ewT2tTnPxKnxJi7K,85,85,0,0,0
5HKcioqNtvxkthPYCkc8Ai4Jj5738jLom4ynWe1tczqwGory,85,85,0,0,0
5DyQQ854TRksvaLLg9Ttx5y3bnLvUcSS1iKc3TikZB3Bn5Am,80,77,0,3,0
5GRa22hbf55e3F2MGBVMdW9WyxV39ZjvkDek11g5pGztzENE,80,80,0,0,0
5D2m7MCjs9xwdtkdqsdAPnzi1BcN3jue6uhd1oYZddQJHesK,79,79,0,0,0
5Ff8i7hvnEH7uCwAB9iwH2LnzSANPoYwYkf5EBDHc3C55mtY,75,75,0,0,0
5D5ER8NTc71tLS3kunFZ3ZwoWdX8PeDV8yE8aP2EWmSxe8gb,46,46,0,0,0
5GWT4NnPJCTpQukn1d8qvup55A7vKKnhptuDpA3Lpf1A1Ast,42,42,0,0,0
5G3VBAkc5awhreq44hgdeRMsEi2sZq2TZyCUqhMpjLZQQ1M9,39,37,1,1,0
5HDrExhbZEmaHs3VMqLH1LQTuDPC8HXpHA2mjizV8wYexDd2,32,32,0,0,0
5FjzWoUhePFxvtYZTjzVdnxmTPsrgPN9LZSyY1U4NQnydXHT,25,25,0,0,0
5FncDg1zA4D9UTq6y961Xm8Czi3hsgnYaX464h12zTC8yrLD,22,22,0,0,0
5EyTkzU8K8fiSknKxctTHQAzPfj7NQrCiBbKwx7gnUjHaK7i,22,22,0,0,0
5GTsLmFV4JqTvedxbRQJNspZjKzKP5edCSmka35LKYALAosS,21,20,1,0,0
5EHyHziJJXx6D7q6Htys228jsYGC2Jg6sCYpFJDM5iyFoz2M,21,20,1,0,0
5Fbc84ed3eRV3YmCUW3qVqaqk5LkFSCfkGqygvbewJz1WYft,20,20,0,0,0
5EqmSPGJ4nFb86pfUUoydGaDDHpdu7qvxPrNRdUrwCUi81qv,20,20,0,0,0
5DiKTs8wuWfv9XNT6sKr9VJLtCs4Mt6qs9EujZRKNCqqnhTE,19,0,19,0,0
5Hjd2LyncZfpC3yufc9YrULVE9QXqX7tTkxKfAYEfTzKohzh,18,17,1,0,0
5CfQGL9J2KsKUyDNWMjr2J65CddBWaTwWWA1c8kGqnKmMors,17,16,1,0,0
5D5CGdVJLhuoUyqN83p36PxYp2L3qj4151aQGvEuFYVNfDSw,17,17,0,0,0
5DFruyksLZaLWG6V1JLqEedzpyrFDiYe8tyEWjBWqdPVg6XA,17,17,0,0,0
5FZCbAQZWxDvN9FvxeocaqLTCDqWqvfjuLRyi6KfygVWYWpz,16,16,0,0,0
5Eqooa1jqreRQ5155bheuVbv455xbUsfNa2U2wPBWLycphTg,15,14,1,0,0
5CeuuPb3DdN5pYcgz2KPA65Uy3PDsN4u1zTxvZugguYGUgE8,15,15,0,0,0
5FsYQMcUQ3B5YQgZusEaqykPBzWcT8ipUM7kc5cUY1PijZEJ,15,15,0,0,0
5EByLDQt5ZJRg16oUEJjgFyw38SWH9VHadwXyutzvXZeQWHu,11,11,0,0,0
5FRZ32xGWh3kjZXsTRM8ZTwqmUYEcBAPaVWaxx9cPmXtfFj6,4,0,4,0,0
5HMnGjBwjdDZsTJrPMChEiMHujG5SNiSa6GJ24yv4WJ5j2VF,3,0,3,0,0
5FhMaRd59y5nyDEtCz1JMMEMZzAGimtmC8m5AfCeXVE3vzCx,3,0,3,0,0
5GrpPNSTqmpjZoMquPHHyvrKUknaRaRy6hDAVTA9ZbPaQRsM,3,0,2,1,0
5H3vjCuhQvETm19o1E8qiPbmf1WNMCYMZ3biSUaBmqs539SF,3,2,1,0,0
5EoD1NcXovo531XRGmzD5piYWMSwyqbGP16yS4hjHMotsJC3,3,0,1,2,0
5D56sT21BJ3JioxPRTM6WwHN5Zx3zkufB8CcpEtkQLkaqitA,1,0,0,1,0
5E1hZ4rLzsBfJcJSwSGeVXdj8f4qKsFY4NL4oWkAC8pkp1mH,1,0,0,1,0
5EcUcyhKxAG2DdRvQTsnNFPP8FxdTzpe6uyZTx7MAKg3kknY,1,0,1,0,0
